0.25,1.694
0.26,1.8
0.27,2.129
0.28,3.052
0.29,4.426
0.3,5.055
0.31,5.074
0.32,5.102
0.33,5.179
0.34,5.293
0.35,5.483
0.36,6.014
0.37,6.863
0.38,6.548
0.39,5.976
0.4,5.587
0.41,5.305
0.42,5.091
0.43,4.925
0.44,4.793
0.45,4.676
0.46,4.577
0.47,4.491
0.48,4.416
0.49,4.348
0.5,4.293
0.51,4.239
0.52,4.192
0.53,4.15
0.54,4.11
0.55,4.077
0.56,4.044
0.57,4.015
0.58,3.986
0.59,3.962
0.6,3.939
0.61,3.916
0.62,3.895
0.63,3.879
0.64,3.861
0.65,3.844
0.66,3.83
0.67,3.815
0.68,3.8
0.69,3.787
0.7,3.774
0.71,3.762
0.72,3.751
0.73,3.741
0.74,3.732
0.75,3.723
0.76,3.714
0.77,3.705
0.78,3.696
0.79,3.688
0.8,3.681
0.81,3.674
0.82,3.668
0.83,3.662
0.84,3.656
0.85,3.65
0.86,3.644
0.87,3.638
0.88,3.632
0.89,3.626
0.9,3.62
0.91,3.614
0.92,3.608
0.93,3.602
0.94,3.597
0.95,3.592
0.96,3.587
0.97,3.582
0.98,3.578
0.99,3.574
1,3.57
1.01,3.566
1.02,3.563
1.03,3.56
1.04,3.557
1.05,3.554
1.06,3.551
1.07,3.548
1.08,3.546
1.09,3.544
1.1,3.541
1.11,3.539
1.12,3.537
1.13,3.534
1.14,3.532
1.15,3.53
1.16,3.528
1.17,3.526
1.18,3.524
1.19,3.522
1.2,3.52
1.21,3.528
1.22,3.516
1.23,3.515
1.24,3.513
1.25,3.511
1.26,3.51
1.27,3.508
1.28,3.507
1.29,3.506
1.3,3.504
1.31,3.503
1.32,3.501
1.33,3.5
1.34,3.498
1.35,3.497
1.36,3.496
1.37,3.495
1.38,3.493
1.39,3.492
1.4,3.491
1.41,3.49
1.42,3.489
1.43,3.488
1.44,3.487
1.45,3.486
1.5,3.4799
1.55,3.4757
1.6,3.4719
1.65,3.4684
1.7,3.4653
1.8,3.4597
1.9,3.455
2,3.451
2.25,3.4431
2.5,3.440065787
2.697,3.436768978
2.894,3.434120967
3.092,3.431952129
3.289,3.430170561
3.486,3.428681962
3.683,3.427425459
3.881,3.426350181
4.078,3.425431802
4.275,3.424637301
4.472,3.423945363
4.669,3.42333907
4.867,3.422802303
5.064,3.422329459
5.261,3.421908692
5.458,3.421532628
5.656,3.421193528
5.853,3.420889696
6.05,3.420615041
6.247,3.420365944
6.444,3.42013933
6.642,3.419931571
6.839,3.419742501
7.036,3.419569083
7.233,3.419409635
7.431,3.419261979
7.628,3.419126329
7.825,3.41900079
8.022,3.418884384
8.219,3.418776244
8.417,3.418675114
8.614,3.418581334
8.811,3.418493772
9.008,3.41841189
9.205,3.418335208
9.403,3.418262941
9.6,3.418195429
9.797,3.418131948
9.994,3.418072183
10.19,3.418016128
10.39,3.417962166
10.59,3.417911233
10.78,3.417865447
10.98,3.417819797
11.18,3.417776573
11.37,3.417737606
11.57,3.417698643
11.77,3.417661649
11.97,3.417626494
12.16,3.41759469

